date,forecast
2023-12-31,16900094.0
2024-01-07,16806738.0
2024-01-14,16745678.0
2024-01-21,16669731.0
2024-01-28,16566970.0
2024-02-04,16508415.0
2024-02-11,16462236.0
2024-02-18,16371594.0
2024-02-25,16315657.0
2024-03-03,16226785.0
2024-03-10,16139564.0
2024-03-17,16109348.0
2024-03-24,16030709.0
2024-03-31,15974723.0
2024-04-07,15921180.0
2024-04-14,15869677.0
2024-04-21,15820407.0
2024-04-28,15773623.0
2024-05-05,15728778.0
2024-05-12,15685722.0
2024-05-19,15644897.0
2024-05-26,15605856.0
2024-06-02,15568906.0
2024-06-09,15533947.0
2024-06-16,15500310.0
2024-06-23,15468496.0
2024-06-30,15438197.0
2024-07-07,15409346.0
2024-07-14,15381884.0
2024-07-21,15355744.0
2024-07-28,15330863.0
2024-08-04,15307187.0
2024-08-11,15284659.0
2024-08-18,15263225.0
2024-08-25,15242833.0
2024-09-01,15223432.0
2024-09-08,15204968.0
2024-09-15,15187404.0
2024-09-22,15170694.0
2024-09-29,15154795.0
2024-10-06,15139670.0
2024-10-13,15125280.0
2024-10-20,15111593.0
2024-10-27,15098571.0
2024-11-03,15086186.0
2024-11-10,15074402.0
2024-11-17,15063195.0
2024-11-24,15052535.0
2024-12-01,15042392.0
2024-12-08,15032748.0
2024-12-15,15023572.0
2024-12-22,15014847.0
