date,forecast
2023-12-31,19788266.743439384
2024-01-07,19813796.99346184
2024-01-14,19647100.67249979
2024-01-21,19642551.77290413
2024-01-28,19990949.394613694
2024-02-04,20555855.9882924
2024-02-11,20998606.454112347
2024-02-18,21050973.972409748
2024-02-25,20702682.814768292
2024-03-03,20181158.91528738
2024-03-10,19775885.34345703
2024-03-17,19654571.48501001
2024-03-24,19792291.55132598
2024-03-31,20037507.133404564
2024-04-07,20244367.024258744
2024-04-14,20365202.81781151
2024-04-21,20440965.33915595
2024-04-28,20518026.240486648
2024-05-05,20581399.623022344
2024-05-12,20568855.322034042
2024-05-19,20442772.03080655
2024-05-26,20239415.077847715
2024-06-02,20048331.56038806
2024-06-09,19953359.715241708
2024-06-16,19995909.8040513
2024-06-23,20173914.245485365
2024-06-30,20441104.670107555
2024-07-07,20693958.4835995
2024-07-14,20791845.160099283
2024-07-21,20646945.186182976
2024-07-28,20324792.187018815
2024-08-04,20032395.10444625
2024-08-11,19955729.260129046
2024-08-18,20082320.071580008
2024-08-25,20203216.429518424
2024-09-01,20123068.81226065
2024-09-08,19871351.05265934
2024-09-15,19676472.872397903
2024-09-22,19709509.50150066
2024-09-29,19873159.44960388
2024-10-06,19888975.131182484
2024-10-13,19614962.83402099
2024-10-20,19249962.86052702
2024-10-27,19174393.392853875
2024-11-03,19563949.462775238
2024-11-10,20177847.833615538
2024-11-17,20562855.533539265
2024-11-24,20484197.953535758
2024-12-01,20150940.443460636
2024-12-08,20008713.916723337
2024-12-15,20310632.00962623
2024-12-22,20891220.89556247
