date,forecast
2023-12-31,17651724.455481894
2024-01-07,17776289.94847813
2024-01-14,17711452.82682518
2024-01-21,17703764.414466504
2024-01-28,17694752.951099873
2024-02-04,17691140.59980949
2024-02-11,17689089.249255963
2024-02-18,17688077.4731135
2024-02-25,17687551.004691638
2024-03-03,17687282.7213039
2024-03-10,17687144.899936184
2024-03-17,17687074.319903523
2024-03-24,17687038.131230634
2024-03-31,17687019.584818423
2024-04-07,17687010.07820168
2024-04-14,17687005.205593
2024-04-21,17687002.708073393
2024-04-28,17687001.427950393
2024-05-05,17687000.77181077
2024-05-12,17687000.435500488
2024-05-19,17687000.263121516
2024-05-26,17687000.174767084
2024-06-02,17687000.1294802
2024-06-09,17687000.106267992
2024-06-16,17687000.09437036
2024-06-23,17687000.08827212
2024-06-30,17687000.085146412
2024-07-07,17687000.0835443
2024-07-14,17687000.082723122
2024-07-21,17687000.08230222
2024-07-28,17687000.08208648
2024-08-04,17687000.081975903
2024-08-11,17687000.081919227
2024-08-18,17687000.081890177
2024-08-25,17687000.081875287
2024-09-01,17687000.081867654
2024-09-08,17687000.081863742
2024-09-15,17687000.081861738
2024-09-22,17687000.08186071
2024-09-29,17687000.081860185
2024-10-06,17687000.081859916
2024-10-13,17687000.08185978
2024-10-20,17687000.081859708
2024-10-27,17687000.08185967
2024-11-03,17687000.081859652
2024-11-10,17687000.08185964
2024-11-17,17687000.081859637
2024-11-24,17687000.081859633
2024-12-01,17687000.081859633
2024-12-08,17687000.081859633
2024-12-15,17687000.081859633
2024-12-22,17687000.081859633
