date,forecast
2023-12-31,19995220.813597668
2024-01-07,18179730.436508987
2024-01-14,17031290.1128875
2024-01-21,19452166.747288883
2024-01-28,18932011.735137485
2024-02-04,17241235.968439177
2024-02-11,24259706.09638316
2024-02-18,22078469.58288586
2024-02-25,19635156.884131256
2024-03-03,13683062.473985737
2024-03-10,17303175.48034792
2024-03-17,18982276.492539886
2024-03-24,17667517.07138144
2024-03-31,18814800.50363941
2024-04-07,17668996.04083822
2024-04-14,18602678.690222014
2024-04-21,18750463.08730052
2024-04-28,19292100.90015138
2024-05-05,16834958.54701051
2024-05-12,19897620.03130128
2024-05-19,17325427.546081845
2024-05-26,16355749.876675328
2024-06-02,16488228.957219485
2024-06-09,18570489.600954037
2024-06-16,20043822.097481832
2024-06-23,18387778.04896591
2024-06-30,20062968.479269486
2024-07-07,19885626.579191256
2024-07-14,20867239.267989945
2024-07-21,19095930.188158456
2024-07-28,17142238.798428483
2024-08-04,19818904.20409519
2024-08-11,16880367.9459085
2024-08-18,15095428.251231559
2024-08-25,21781694.015306752
2024-09-01,19475567.86632591
2024-09-08,20754128.85588695
2024-09-15,16553431.330670819
2024-09-22,15617290.758385172
2024-09-29,18963679.67723852
2024-10-06,18870585.60443921
2024-10-13,16275338.506731918
2024-10-20,17275073.515875824
2024-10-27,19782874.495679174
2024-11-03,15933057.831031684
2024-11-10,14702678.295903405
2024-11-17,18768137.24881984
2024-11-24,15898131.563832307
2024-12-01,19026419.0095502
2024-12-08,19293710.75578825
2024-12-15,14291237.17445695
2024-12-22,18670571.019549184
