Date,Revenue,Traffic_Volume
2019-01-06,17450156.0,1064.0
2019-01-13,19413418.0,1183.0
2019-01-20,20698386.0,1262.0
2019-01-27,20536502.0,1252.0
2019-02-03,17614912.0,1074.0
2019-02-10,19576812.0,1193.0
2019-02-17,19462848.0,1186.0
2019-02-24,19029054.0,1160.0
2019-03-03,18161635.0,1107.0
2019-03-10,20337758.0,1240.0
2019-03-17,15665651.0,955.0
2019-03-24,18094410.0,1103.0
2019-03-31,18756736.0,1143.0
2019-04-07,17811310.0,1086.0
2019-04-14,19155996.0,1168.0
2019-04-21,18358631.0,1119.0
2019-04-28,23426583.0,1428.0
2019-05-05,19440026.0,1185.0
2019-05-12,20059241.0,1223.0
2019-05-19,17580543.0,1071.0
2019-05-26,16679187.0,1017.0
2019-06-02,18423893.0,1123.0
2019-06-09,12493951.0,761.0
2019-06-16,19990754.0,1218.0
2019-06-23,19442409.0,1185.0
2019-06-30,18739163.0,1142.0
2019-07-07,18516587.0,1129.0
2019-07-14,18542750.0,1130.0
2019-07-21,16612770.0,1012.0
2019-07-28,15969190.0,973.0
2019-08-04,15919773.0,970.0
2019-08-11,16475148.0,1004.0
2019-08-18,19108284.0,1165.0
2019-08-25,17514537.0,1067.0
2019-09-01,14968483.0,912.0
2019-09-08,15365035.0,936.0
2019-09-15,15207537.0,927.0
2019-09-22,18003866.0,1097.0
2019-09-29,18844641.0,1149.0
2019-10-06,17374436.0,1059.0
2019-10-13,15584606.0,950.0
2019-10-20,15250670.0,929.0
2019-10-27,14276220.0,870.0
2019-11-03,14942156.0,911.0
2019-11-10,17954957.0,1094.0
2019-11-17,16928818.0,1032.0
2019-11-24,19979184.0,1218.0
2019-12-01,16002764.0,975.0
2019-12-08,20796750.0,1268.0
2019-12-15,16837155.0,1026.0
2019-12-22,19798122.0,1207.0
2019-12-29,16809016.0,1024.0
2020-01-05,10990921.0,670.0
2020-01-12,13534189.0,825.0
2020-01-19,12002897.0,731.0
2020-01-26,12719735.0,775.0
2020-02-02,12470537.0,760.0
2020-02-09,13092218.5,733.0
2020-02-16,13713900.0,836.0
2020-02-23,13938711.0,849.0
2020-03-01,14449905.0,881.0
2020-03-08,13179037.0,803.0
2020-03-15,12907079.0,881.5
2020-03-22,15753010.0,960.0
2020-03-29,15717688.0,958.0
2020-04-05,12398961.0,756.0
2020-04-12,14434508.0,880.0
2020-04-19,12071826.0,736.0
2020-04-26,13484418.0,822.0
2020-05-03,12916862.0,787.0
2020-05-10,14426542.0,879.0
2020-05-17,13929071.0,849.0
2020-05-24,16586272.0,1011.0
2020-05-31,13788137.0,840.0
2020-06-07,13598550.0,829.0
2020-06-14,12904373.0,786.0
2020-06-21,13399657.0,817.0
2020-06-28,11810336.0,720.0
2020-07-05,11466168.0,699.0
2020-07-12,11286908.0,688.0
2020-07-19,13703431.0,835.0
2020-07-26,14368140.0,876.0
2020-08-02,15409589.0,939.0
2020-08-09,14147051.0,862.0
2020-08-16,13353041.0,814.0
2020-08-23,12444449.0,758.0
2020-08-30,14459478.0,881.0
2020-09-06,12473740.0,760.0
2020-09-13,12936785.0,788.0
2020-09-20,12835521.0,782.0
2020-09-27,13801140.0,841.0
2020-10-04,15416117.0,940.0
2020-10-11,12267020.0,747.0
2020-10-18,10951586.0,667.0
2020-10-25,10385877.0,633.0
2020-11-01,12897987.0,786.0
2020-11-08,10985381.0,669.0
2020-11-15,13496413.0,822.0
2020-11-22,12631924.0,770.0
2020-11-29,12850903.0,783.0
2020-12-06,13980849.0,852.0
2020-12-13,13254490.0,808.0
2020-12-20,14022580.0,855.0
2020-12-27,14546368.0,886.0
2021-01-03,16844068.0,1027.0
2021-01-10,15742761.0,959.0
2021-01-17,14226832.0,867.0
2021-01-24,13743873.0,838.0
2021-01-31,15823352.0,964.0
2021-02-07,14050713.0,856.0
2021-02-14,16813421.0,1025.0
2021-02-21,16163913.0,985.0
2021-02-28,15428652.0,940.0
2021-03-07,15936706.0,971.0
2021-03-14,15535050.0,947.0
2021-03-21,14149075.0,862.0
2021-03-28,15991168.0,975.0
2021-04-04,15544917.0,947.0
2021-04-11,12588925.0,767.0
2021-04-18,16979729.0,1035.0
2021-04-25,13280609.0,809.0
2021-05-02,14966398.0,912.0
2021-05-09,13287463.0,810.0
2021-05-16,15633126.0,953.0
2021-05-23,14065258.0,857.0
2021-05-30,18778690.0,1145.0
2021-06-06,16899287.0,1030.0
2021-06-13,14990260.0,914.0
2021-06-20,14420747.0,879.0
2021-06-27,14909012.0,909.0
2021-07-04,16298434.0,993.0
2021-07-11,16544646.0,1008.0
2021-07-18,13747010.0,838.0
2021-07-25,15123530.0,922.0
2021-08-01,16453020.0,1003.0
2021-08-08,16375429.0,998.0
2021-08-15,15202805.0,927.0
2021-08-22,13505246.0,823.0
2021-08-29,14435576.0,880.0
2021-09-05,14062538.0,857.0
2021-09-12,12424691.0,757.0
2021-09-19,13700342.0,835.0
2021-09-26,9833064.0,599.0
2021-10-03,14461820.0,881.0
2021-10-10,14297468.0,871.0
2021-10-17,14670680.0,894.0
2021-10-24,14311524.0,872.0
2021-10-31,15396243.0,938.0
2021-11-07,12034953.0,733.0
2021-11-14,15962586.0,973.0
2021-11-21,13437968.0,819.0
2021-11-28,15644157.0,953.0
2021-12-05,12956052.0,790.0
2021-12-12,13554418.0,826.0
2021-12-19,15781792.0,962.0
2021-12-26,12778268.0,779.0
2022-01-02,17754832.0,1082.0
2022-01-09,17376759.0,1059.0
2022-01-16,17725001.0,1080.0
2022-01-23,21600438.0,1317.0
2022-01-30,18676683.0,1138.0
2022-02-06,19619584.0,1196.0
2022-02-13,18888284.0,1151.0
2022-02-20,19389300.0,1182.0
